Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,..,..,..,..,..,..,..,..,..,..,0,0,0.00419708770498417,0.0479294091327624,0.170113800016297,0.436293908157813,0.550646513081082,0.541357659211818,0.269173167950155,0.407267298196983,0.520996785139083,0.176256474550542,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0321245558043524,0.0115705359126356,0.0103895380484067,0.0126381416579317,0.0148917470496534,0.0155056628971892,0.0169940719018454,0.0114045372234545,0.0343921556870659,0.067987611615379,0.0583788012581106,0.0431043064546898,0.0440778563089162,0.0397543817211093,0.0286066618957396,0.0305972755361812,0.0425745832817803,0.0306807528024057,..
Afghanistan,AFG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0.00231224809840658,0.00300190500195251,0.0019986339610226,0.00281554899862861,0,0,0,..
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,..,..,..,..,..,..,..,..,..,..,0.0177889919988865,0.0294247030075833,0.0331009512386763,0.0554377144704201,0.18246430638044,0.392505226807326,0.569600771757156,0.654265038661154,0.612869673296686,1.27169217143433,1.41742464792145,1.36862265474656,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.029101080046802,0.0266858315480046,0.025399068790409,0.0259732745155127,0.0221440890371755,0.0146957032171999,0.0161380341741951,0.00545778248651692,0.00496405675816999,0.00661616208441344,0.109759658709867,0.0040171082591659,0.00316611766583391,0.00107637752933451,0.000872220253764918,0.00129589711544822,0.00193851377624702,0.00162776252475565,..
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,..,..,..,..,..,..,..,..,..,..,0.302881584930502,0.373956335446073,0.435262391344023,0.871483242094685,1.15271946597785,1.64052635449597,1.89231078823473,1.79891230111256,1.63285168554427,2.25035893709581,2.58387601344999,2.07505916536942,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.02357022157732,0.710009344197614,0.440030580283539,0.381719799714812,0.50226548978958,0.449365385586923,0.61129544713737,0.418062902143286,0.609980533237616,0.879277901469813,0.702276007055204,0.545882309970938,0.544477423767102,0.495307092990868,0.677458943912128,0.696790427167799,0.915366188790762,0.77395727295575,..
Albania,ALB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.50777713394626,0.446417822106323,0.483927552772367,0.324616917886885,0.521361305545586,0.504750184029524,0.310273970882615,0.264663425563403,0.224714893261162,0.0410690226197659,0.0216019160701227,0.0170820958791003,0.0160695761553352,0.0152797645019312,0.00833810982294974,0.00339906139192754,0.0251833702247385,0.0418867906890572,0.0293623740833124,0.0247926353159977,0.0170802267009623,0.0157767963443909,0.027384623689268,0.00824453730516166,0.0313678564906814,0.0289650221033628,0.00762859737867537,0.0107794681154291,0.0201441406602045,0.0208437415734593,0.0245111230959871,0.0214776528963928,0.0165112673466783,0.0257646684924479,0.0284076026495559,0.0219985321692291,..
Albania,ALB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.604964557441727,0.692259344343204,0.440841190981462,0.67423879239664,3.64766860240634,3.65113125208662,1.48916309567935,2.32270804661255,0.431830628064928,0.146794463403927,0.0450273115750504,0.0371836556150219,0.0374604538014767,0.00860042680663119,0.0183314756869936,0.00567240663721028,0,0,0,0,0.00996934636027783,0.0251232356467977,0.121229693427626,0.834611560223794,0.0787066190414712,0.0418366472475093,0.142023626881312,0.218928050575802,0.165774446105847,0.111634544895119,0.105381286314614,0.0657948685311849,0.00269413258140529,0,0.0408942210120846,0.0253243204495948,..
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.1022707410627,13.1350368534285,4.86064548160219,7.98968304790724,4.92463189792542,7.71798212335065,7.55276960231829,4.10811311763452,4.29220184936419,2.34122357908128,1.32497899423878,1.05617341296277,1.05331511516606,1.13513624534112,0.17592098952006,0.441779764685246,0.945520258379203,0.650141974404092,0.664610136036389,0.644512639910059,0.68298105743337,0.926516998854583,1.11613085761613,0.83942817638714,0.916225275620563,0.459639844900993,1.35748215176147,2.73816308738722,3.00847566138625,2.64966720733238,2.77663351256861,1.33705853816038,1.15637306235545,1.1397818150594,1.54518807530349,1.35354642713977,..
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.1935748582654,16.5076513707946,7.69903879480847,10.7018171522713,11.0921097066468,13.5680858424462,11.0420086030244,10.4894742756368,11.4689392687357,3.0147314049536,1.62517595713078,1.29653642152241,1.25275915019698,1.3569740497722,0.321535421851334,0.53157711108979,1.09796102011767,0.755950477951608,0.760798239531304,0.733194369383988,0.770849476407675,1.0183823734434,1.32183144186644,1.76108609247365,1.10999894994736,0.605979694463314,1.57450582973465,3.1788954930999,3.37727696060868,2.94740634709663,3.07578173881471,1.62162043575595,1.33338687223127,1.35755573540476,1.81806469880433,1.59173188825137,..
Algeria,DZA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,..,..,..,..,..,..,..,..,..,..,0.0268799422167698,0.0188640887160421,0.0213375001956146,0.0419028134423098,0.0808590604145702,0.255967920279525,0.317976888787045,0.376729627735479,0.550828553026913,1.31446114854104,0.905273335557941,0.508089344577436,0.119872642173991,1.18329832564576,1.0036601075446,1.08155310450691,0.894388087744067,0.680313326108381,0.734270278181795,0.850644572936941,1.0249391412708,1.36028137225255,1.12753352099085,1.40975655497001,1.17601023803192,1.59591446667626,1.97254322774969,2.58991432138844,2.1543534047679,2.14068159666672,3.65621162798461,4.15214785779857,3.33601286716145,3.05954164630908,2.71743615119297,3.26205753123029,3.57883637637782,3.53438389814832,3.31281095079322,3.61323106718535,2.586460975444,3.49352531957955,3.59513144872142,3.74896496874998,3.42175562986784,2.76528362795645,1.76186908088454,1.90445756686784,2.71519024485412,1.89771996691423,..
Algeria,DZA,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,..,..,..,..,..,..,..,..,..,..,0.171412475437999,0.182914658502376,0.152164978005522,0.15796005091547,0.326824083981889,0.305620274315824,0.174381268555069,0.285054422342359,0.0658029398424003,0.0605837818334236,0.0777893953290599,0.0771245491917818,0.0961243361180986,0.0674533845393177,0.0535650300974503,0.0462605812939469,0.0317561406525076,0.024722410503718,0.0498041368542649,0.0628926149168321,0.0453340437511534,0.0382612231916399,0.0462176602048283,0.0296579695227641,0.0255305161151932,0.0232420622787832,0.024073107677824,0.0167029081285609,0.0431225119218737,0.025948714232365,0.0216086360014057,0.020991351700036,0.0173275447680091,0.010831074378953,0.0143705574568412,0.0488689983054863,0.0724124512810059,0.130505599267698,0.33426357984865,0.171449103382926,0.153595370433212,0.15539696085269,0.142973435151667,0.0800058747186598,0.0545408689255541,0.0562806032329648,0.0507971071128902,0.0407679027013446,0.0339771604964082,0.00814271510171125,..
